ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
inf	37.406	9.514227642276422	18.428861788617887	14.034552845528456	0.18472851311815447	15	2552	101	41.0	105.0	85.0	4	2.0	2.0	1.0	0	0	0.046634674072265625	8000	10.53520917892456	
2.3651346128593067	38.45	10.134969325153374	19.824130879345603	15.214723926380367	0.18472851311815447	16	2564	86	41.0	95.0	77.0	4	2.0	2.0	1.0	0	0	0.07467317581176758	8500	10.609882354736328	
2.0075189095084958	38.634	10.427104722792608	20.367556468172484	15.739219712525667	0.18472851311815447	17	2578	85	40.0	98.0	72.0	10	2.0	2.0	1.0	0	0	0.05068087577819824	9000	10.660563230514526	
1.4375294798691263	40.238	10.548057259713701	20.427402862985684	15.72597137014315	0.18472851311815447	18	2590	96	32.0	81.0	63.0	6	2.0	2.0	1.0	0	0	0.049492597579956055	9500	10.710055828094482	
1.1441574608576748	40.694	10.49079754601227	19.79959100204499	15.269938650306749	0.18472851311815447	19	2602	108	35.0	124.0	97.0	1	2.0	2.0	1.0	0	0	0.04913949966430664	10000	10.759195327758789	
1.3874498024742978	42.07	10.793939393939393	20.953535353535354	16.206060606060607	0.18472851311815447	20	2608	106	31.0	124.0	97.0	4	2.0	2.0	1.0	0	0	0.051036834716796875	10500	10.810232162475586	
inf	45.52	11.827235772357724	24.908536585365855	19.119918699186993	0.18472851311815447	21	2617	144	31.0	124.0	94.0	10	2.0	2.0	1.0	0	0	0.057633161544799805	11000	10.867865324020386	
1.4014509542507743	46.412	10.977777777777778	22.252525252525253	17.016161616161614	0.18472851311815447	22	2623	126	32.0	87.0	64.0	10	2.0	2.0	1.0	0	0	0.053121328353881836	11500	10.920986652374268	
0.7445129938249447	48.034	11.632860040567952	23.837728194726168	18.29817444219067	0.18472851311815447	23	2631	123	33.0	100.0	76.0	11	2.0	2.0	1.0	0	0	0.05649542808532715	12000	10.977482080459595	
1.7657863469071537	51.312	12.48155737704918	26.387295081967213	20.24795081967213	0.18472851311815447	24	2644	155	40.0	146.0	107.0	4	2.0	2.0	1.0	0	0	0.06083059310913086	12500	11.038312673568726	
0.9150730230519306	52.71	12.872164948453609	27.34639175257732	21.0659793814433	0.18472851311815447	25	2660	152	47.0	162.0	119.0	7	2.0	2.0	1.0	0	0	0.0628056526184082	13000	11.101118326187134	
